;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
373,000;0,16387;421,000;0,28753;323,000;0,021861;
373,500;0,16906;421,500;0,29145;323,500;0,023641;
374,000;0,17465;422,000;0,29711;324,000;0,025439;
374,500;0,18059;422,500;0,30404;324,500;0,027143;
375,000;0,1867;423,000;0,31167;325,000;0,028744;
375,500;0,19274;423,500;0,31951;325,500;0,030295;
376,000;0,19869;424,000;0,32744;326,000;0,031908;
376,500;0,20483;424,500;0,33564;326,500;0,033696;
377,000;0,21147;425,000;0,34418;327,000;0,035713;
377,500;0,21864;425,500;0,3529;327,500;0,03795;
378,000;0,22608;426,000;0,36164;328,000;0,040367;
378,500;0,23344;426,500;0,3705;328,500;0,042885;
379,000;0,24059;427,000;0,37973;329,000;0,045536;
379,500;0,2477;427,500;0,38935;329,500;0,048319;
380,000;0,25511;428,000;0,39902;330,000;0,05124;
380,500;0,26309;428,500;0,40839;330,500;0,0543;
381,000;0,27165;429,000;0,41741;331,000;0,057494;
381,500;0,28048;429,500;0,42636;331,500;0,060826;
382,000;0,28916;430,000;0,43559;332,000;0,064297;
382,500;0,29749;430,500;0,44525;332,500;0,067912;
383,000;0,30555;431,000;0,45518;333,000;0,071654;
383,500;0,31352;431,500;0,46514;333,500;0,075493;
384,000;0,32149;432,000;0,47496;334,000;0,079387;
384,500;0,32949;432,500;0,48468;334,500;0,083313;
385,000;0,33767;433,000;0,49448;335,000;0,087328;
385,500;0,34622;433,500;0,5045;335,500;0,091563;
386,000;0,35519;434,000;0,5147;336,000;0,096156;
386,500;0,36451;434,500;0,52488;336,500;0,10115;
387,000;0,37404;435,000;0,53482;337,000;0,1065;
387,500;0,38358;435,500;0,54451;337,500;0,1121;
388,000;0,39296;436,000;0,55414;338,000;0,11787;
388,500;0,40219;436,500;0,5639;338,500;0,12376;
389,000;0,41151;437,000;0,57377;339,000;0,12972;
389,500;0,42109;437,500;0,58356;339,500;0,1357;
390,000;0,43082;438,000;0,59306;340,000;0,14167;
390,500;0,44041;438,500;0,60208;340,500;0,14755;
391,000;0,44962;439,000;0,61059;341,000;0,15332;
391,500;0,45855;439,500;0,61894;341,500;0,15901;
392,000;0,46755;440,000;0,62761;342,000;0,16471;
